Title,Description,ImageFile,Category
"Sand in play area","Sand needs to be refilled in the play area for safety.","00000030-PHOTO-2026-04-21-11-12-28.jpg","Common Areas"
"Basketball court levelling","The basketball court needs levelling to avoid water logging.","00000031-PHOTO-2026-04-21-11-12-28.jpg","Common Areas"
"Levelling and landscaping","Levelling and landscaping work needs to be completed.","00000053-PHOTO-2026-04-21-11-12-35.jpg","Common Areas"
"Granite tiles","Granite tiles and interlocking work need to be completed.","00000054-PHOTO-2026-04-21-11-12-36.jpg","Structural"
"Open pit","Open pits need to be covered for safety.","00000055-PHOTO-2026-04-21-11-12-36.jpg","Plumbing"
"Light installation","Light installation is needed in the last row for proper illumination.","00000056-PHOTO-2026-04-21-11-12-36.jpg","Electrical"
"Cricket pitch door","The door of the cricket pitch needs to be opened and the net adjusted.","00000057-PHOTO-2026-04-21-11-12-37.jpg","Amenities"
"Cricket pitch flooring","Flooring and levelling of the cricket pitch need to be completed.","00000059-PHOTO-2026-04-21-11-12-37.jpg","Common Areas"
"Wall paint","Wall paint needs to be completed for a finished look.","00000061-PHOTO-2026-04-21-11-12-38.jpg","Common Areas"
"Electric fixtures","Electric fixtures need to be installed for proper functionality.","00000062-PHOTO-2026-04-21-11-12-38.jpg","Electrical"
"Pergola work","Pending work under the pergola needs to be completed.","00000063-PHOTO-2026-04-21-11-12-38.jpg","Amenities"
"Open pipes","Open pipes need to be covered to ensure safety.","00000064-PHOTO-2026-04-21-11-12-39.jpg","Plumbing"
"Fire equipment","Fire extinguishing equipment needs to be installed.","00000065-PHOTO-2026-04-21-11-12-39.jpg","Security"
"Electric room paint","The electric room needs to be painted for a finished look.","00000066-PHOTO-2026-04-21-11-12-39.jpg","Common Areas"
"Levelling outside homes","Levelling of interlocking outside homes needs to be done to avoid water seepage.","00000068-PHOTO-2026-04-21-11-12-40.jpg","Common Areas"
"Electric safety tests","All electric fixtures in the clubhouse, society, and swimming pool need to be tested for safety.","00000071-VIDEO-2026-04-21-11-12-41.mp4","Electrical"
"Granite tiles and interlocking","Granite tiles and interlocking work need to be completed.","00000067-PHOTO-2026-04-21-11-12-40.jpg","Structural"
"Door for maintenance room","The door for the maintenance room near the pool needs to be installed.","00000033-PHOTO-2026-04-21-11-12-29.jpg","Amenities"
"Levelling behind clubhouse","Levelling work behind the clubhouse needs to be completed.","00000034-PHOTO-2026-04-21-11-12-29.jpg","Common Areas"
"Wall around clubhouse","The wall around the clubhouse needs to be constructed.","00000035-PHOTO-2026-04-21-11-12-30.jpg","Structural"
"Levelling near boundary","Levelling near the boundary behind the clubhouse needs to be completed.","00000036-PHOTO-2026-04-21-11-12-30.jpg","Common Areas"
"Granite and tiles","Granite and tiles work behind the clubhouse needs to be completed.","00000037-PHOTO-2026-04-21-11-12-30.jpg","Structural"
"Hanging pipes","Hanging pipes behind the clubhouse need to be removed.","00000038-PHOTO-2026-04-21-11-12-31.jpg","Plumbing"
"Basketball court basket","The basketball court basket and green net behind it need to be installed.","00000039-PHOTO-2026-04-21-11-12-31.jpg","Amenities"
"Grill painting","The grill near the basketball court needs to be painted.","00000040-PHOTO-2026-04-21-11-12-31.jpg","Common Areas"
"Electric fixtures pergola","Electric fixtures in the seating area under the pergola need to be installed.","00000041-PHOTO-2026-04-21-11-12-32.jpg","Electrical"
"Electric fixtures walkway","Electric fixtures near the walkway need to be installed.","00000042-PHOTO-2026-04-21-11-12-32.jpg","Electrical"
"Granite tiles","Granite tiles and interlocking work need to be completed.","00000043-PHOTO-2026-04-21-11-12-32.jpg","Structural"
"Open pits","Open pits need to be covered for safety.","00000045-PHOTO-2026-04-21-11-12-33.jpg","Plumbing"
"Uneven surfaces","Uneven surfaces need to be levelled for safety.","00000048-PHOTO-2026-04-21-11-12-34.jpg","Common Areas"
"Seating area pergola","Finishing work for the seating area under the pergola needs to be completed.","00000049-PHOTO-2026-04-21-11-12-34.jpg","Amenities"
"Drain coverage","Drain coverage needs to be installed to ensure safety.","00000050-PHOTO-2026-04-21-11-12-34.jpg","Plumbing"
"Open pipes","Open pipes and pending work need to be completed.","00000051-PHOTO-2026-04-21-11-12-35.jpg","Plumbing"
